"Filename",14_08082202.mzData,25_22.mzData,15_2210.mzData,16_11665.mzData,23_16.mzData,24_D8o822B4.mzData,22_13.mzData,32_09082201.mzData,39_07082204.mzData,11_Grupo_control_1.mzData,20_Grupo_control_1.mzData,33_51480.mzData,46_15.mzData,26_Grupo_control_1.mzData,36_Grupo_control_1.mzData,44_Grupo_control_1.mzData,38_21.mzData,41_20.mzData,48_51468.mzData,47_51467.mzData,50_Grupo_control_1.mzData,30_08082205.mzData
run_date,,,,,,,,,,,,,,,,,,,,,,
6063/52.0000mz/22.00min,135.0,66.0,97.0,,97.0,94.0,,121.0,111.0,290.0,316.0,308.0,81.0,284.0,,654.0,409.9969177246094,498.0,135.0,118.0,527.0,375.0
9458/52.0000mz/29.83min,102.0,84.0,118.0,127.0,81.0,68.0,98.0,108.0,95.0,423.0,302.0,425.0,122.0,394.0,316.0,353.0,89.0,273.0,118.0,143.0,350.0,4441.884765625
2469/52.0001mz/10.52min,132.0,103.0,129.0,190.0,113.0,119.0,151.0,110.0,150.0,1116.0,1170.0,,126.0,1143.0,1109.9755859375,1340.0,108.0,,111.0,134.0,1191.0,
297/52.0002mz/3.95min,108.0,78.0,81.0,129.0,103.0,78.0,97.0,90.0,84.0,825.0,798.98779296875,119.0,118.0,815.0,854.0,545.0,98.0,358.0,114.0,84.0,714.0,174.0
9525/52.0002mz/29.89min,130.0,111.0,97.0,124.0,84.0,81.0,94.0,154.0,92.0,1241.0,1422.0,769.0,108.0,1165.9844970703125,1775.0,2273.0,124.0,,113.0,129.0,1908.0,
7503/52.0003mz/25.32min,130.0,90.0,118.0,207.0,86.0,82.0,266.0,143.0,103.0,1081.0,1257.0,10514.0,102.0,1140.0,1589.9676513671875,1612.0,102.0,452.0,140.0,260.0,1561.0,10348.0
4003/52.0004mz/17.01min,150.0,90.0,100.0,446.9974060058594,58.0,79.0,111.0,148.0,74.0,206.0,175.0,134.0,,180.0,207.0,254.0,150.0,481.0,124.0,94.0,234.0,388.0
3670/52.0005mz/15.45min,174.0,,527.0,513.0,,201.0,270.0,686.9932250976562,391.0,530.0,,394.0,306.0,,543.0,554.0,113.0,,233.0,308.0,567.0,438.0
2419/52.0005mz/10.41min,249.0,111.0,378.0,1072.9884033203125,239.0,223.0,,351.0,337.0,447.0,,106.0,250.0,390.0,556.0,,95.0,4911.0,234.0,132.0,644.0,
5399/52.0107mz/20.45min,,,,,,,,,,,,,,,,,,,,,803.9954223632812,
1935/52.0132mz/9.06min,,,,,,,,,,,,,,,,,,,,,,2352.9423828125
10145/52.9996mz/31.16min,244.0,148.0,358.0,404.0,348.0,231.0,893.994384765625,599.0,268.0,1666.0,1761.0,466.0,370.0,1514.0,1906.0,2199.0,191.0,782.0,287.0,396.0,2001.0,
2097/52.9999mz/9.57min,1700.0,388.0,1732.0,2622.0,1510.0,468.0,,,999.0,2223.0,844.0,3134.968017578125,1060.0,,2580.0,2646.0,1028.0,3228.0,3657.0,881.0,2521.0,
925/53.0000mz/5.27min,991.0,433.0,434.0,674.0,423.0,231.0,671.0,364.0,514.0,,817.0,3789.977783203125,300.0,590.0,778.0,700.0,454.0,2042.0,561.0,314.0,830.0,1004.0
2127/53.0000mz/9.57min,1700.0,,1732.0,2622.0,1510.0,468.0,,1022.0,999.0,2223.0,844.0,3135.0,1060.0,2201.0,2580.0,2646.0,1028.0,3228.0,3657.0,881.0,2520.968994140625,
3128/53.0000mz/12.97min,265.0,145.0,282.0,329.0,201.0,167.0,244.0,209.0,281.0,492.0,521.0,362.0,188.0,489.0,575.0,583.0,242.0,1958.0,311.0,1477.988037109375,564.0,
3542/53.0000mz/15.07min,398.0,201.0,316.0,345.0,241.0,154.0,278.0,225.0,311.0,727.0,729.0,,252.0,614.0,798.0,,233.0,2430.0,388.0,2642.0,817.0,9059.853515625
2374/53.0000mz/10.35min,388.0,177.0,345.0,495.0,241.0,170.0,,278.0,322.0,4447.0,4839.0,417.0,346.0,4906.0,5158.0,8166.79296875,210.0,,506.0,246.0,6938.0,1070.0
68/53.0000mz/3.65min,806.0,484.0,527.0,954.0,871.0,415.0,1244.0,,817.0,2994.0,3121.0,1204.0,450.0,3343.0,3322.0,3477.97216796875,866.0,2762.0,1630.0,359.0,3348.0,50079.0
1595/53.0001mz/7.10min,428.0,457.0,719.0,1930.0,681.0,233.0,1204.0,478.0,1173.9879150390625,918.0,1335.0,,420.0,1212.0,745.0,1386.0,508.0,1558.0,1066.0,655.0,670.0,1340.0
4922/53.0001mz/19.09min,306.0,148.0,230.0,668.0,174.0,162.0,364.0,252.0,217.0,686.0,543.0,529.0,238.0,652.0,,,1955.9620361328125,1692.0,282.0,508.0,,1863.0
11550/53.0001mz/34.26min,218.0,138.0,202.0,252.0,162.0,146.0,206.0,226.0,233.0,1714.0,,871.0,438.0,1288.9931640625,1388.0,1831.0,185.0,750.0,303.0,2148.0,1801.0,1422.0
5484/53.0001mz/20.66min,324.0,172.0,266.0,294.0,198.0,148.0,305.0,223.0,220.0,,1423.0,497.0,209.0,1212.0,1306.0,1434.0,894.0,1322.0,316.0,374.0,1361.0,3528.9521484375
3058/53.0001mz/12.82min,332.0,148.0,271.0,350.0,,169.0,239.0,226.0,298.0,2196.0,1354.0,377.0,185.0,2097.0,2401.0,2676.0,2125.960693359375,,295.0,377.0,2585.0,
373/53.0002mz/4.18min,590.0,1191.0,,969.0,,191.0,1644.0,,450.0,1732.0,,3626.0,,,1007.0,,959.0,2234.0,2045.98876953125,170.0,,750.0
2164/53.0005mz/9.57min,1700.0,1532.0,1732.0,2621.968505859375,1509.9815673828125,468.0,,1022.0,2785.0,2223.0,844.0,3135.0,1060.0,2201.0,2580.0,2646.0,1028.0,3228.0,3657.0,881.0,2521.0,
3316/53.0003mz/13.93min,287.0,153.0,241.0,292.0,188.0,175.0,231.0,199.0,217.0,2182.98095703125,1790.0,754.0,263.0,1497.0,1903.0,2532.0,426.0,1873.0,,327.0,2399.0,844.0
14896/53.0003mz/42.75min,690.0,602.0,767.0,747.9945068359375,708.0,649.0,1100.0,998.0,934.0,942.0,959.0,1196.0,809.0,886.0,1092.0,1238.0,665.0,1388.0,1167.0,1047.0,1143.0,1639.0
