"","AlignID","Factor","tmean","FoundIn","4_Blanco","11_QC","20_QC","26_QC","36_QC","44_QC","50_QC","15_2210","16_11665","22_13","23_16","24_08082204","25_22","30_08082205","32_07082201","33_51480","38_21","39_07082204","41_20","46_15","47_51467","48_51468"
"634",635,"Factor #635",14.4566,22,57.92676,850,982.1739,967,858,1076.565,1085.174,86.76879,124.3227,192.6794,97.86861,43.05948,56.8063,26592,209.8683,180.4168,100.7826,74.58105,77.82609,120.728,73.08696,1170.554
"636",634,"Factor #634",14.4605,22,65.5888,957,982,961,1070,1089,1085,81.19739,128.8578,186.9561,76.18183,39.31382,50.89599,26592,194.6047,162.8158,100.7826,64.93919,77.82609,70,73.08696,1171
"637",639,"Factor #639",14.5567,21,19.57181,5754.216,3308,2043,1640,2508.153,1808.156,1644,1797,1558.088,38.76615,0,19.46056,12323.23,40.83391,27825.07,34.8079,318.9758,34153.7,35.61826,192.5217,653
"638",637,"Factor #637",14.5779,21,19.51379,12409,10003,6454,4129,2368,1808.156,1891,3558,1365,226.3362,0,19.45908,12864.45,67.17391,27825,34.83622,364.2759,94930,35.56522,192.5217,1158
"639",638,"Factor #638",14.5819,21,19.51881,12409,10003,6105,4015,2533,1808.156,1961,3199,1558,248.858,0,19.44513,12904.04,75.17391,27825,34.73913,364.2759,94930,35.57933,192.5217,1258
"640",640,"Factor #640",14.5966,19,0,8757.21,8915,5086,3545,2390,1806,1890.896,3386.911,1494.534,248.858,0,0,29306.89,67.17391,27339.95,10.04598,314.259,94107.12,11.75377,192.5217,1158.057
"643",641,"Factor #641",14.6198,20,75.45927,1485,10003,679,4129.344,2533.038,1808.156,1324,1547,1252,296.1284,0,0,12514.45,96.34783,14993.44,61.69565,364.2759,79341.77,28.46628,192.5217,822
"645",643,"Factor #643",14.6329,21,195.0245,1297,1295,5895.954,3323,2508.153,1805.795,1018,921,896,296.1284,0,46.23052,7453.879,96.34783,1426.223,4.414768,364.2759,79341.77,28.86848,192.5217,558
"646",644,"Factor #644",14.6488,21,236.1114,1213,863,1001.78,1898.479,1034.08,1646.437,806,1778.739,709,296.1284,0,4.463128,7402.168,36.44578,649,2.383415,364.2759,79341.77,7.100592,164.8079,777.6062
"647",647,"Factor #647",14.9469,21,20.56522,13990,14348,12592,14336,14675,14290,35,508.0896,62.1057,51.17391,0,14.72076,137689.7,52.81324,76.7744,96.46111,28.72651,68.30743,49.91304,34.43735,7642
"648",648,"Factor #648",14.9479,21,22.67622,13990,14347.9,12837,14336,14675.3,14289.57,42.23945,508,38.8027,51.57977,0,15.52333,137689.7,47.80738,74.12443,102.4783,28.92424,68.25371,53.04348,42.2799,7642
"649",649,"Factor #649",14.981,21,0,4088,1272,3412,8645.666,1580,4213.137,84.73913,508.0896,28.83522,51.17391,30.201,41.50936,98802.04,59.17045,70.3331,96.46111,77.42926,370.1524,53.04348,112.8878,7601.111
"650",651,"Factor #651",15.1198,22,1266.13,1630.13,2028.565,1940.174,1837.522,2091.348,1636.652,1510.954,2917.957,3576,1343,347,971,1562.227,1222.727,1109,1038.435,2801.261,990.3478,784.0435,233.7301,1364
"651",650,"Factor #650",15.1223,22,1266,1630,2029,1940,1838,2091,1637,1511,2918,3576,1315,347,1733,1789.602,1222.141,3125,1064,2801,990.3478,784,229.4643,3325
"655",655,"Factor #655",15.1798,22,207.9548,645,503,649,608,619.3306,765,229.7162,425.4461,426.3179,268.0435,41.04319,192.3756,15573.12,212.4056,657.2985,155.383,375.3466,316.095,334.8178,87.67613,317.0098
"657",656,"Factor #656",15.2084,22,167.6621,580,702,730.6312,506,526.1145,777,275.7007,824.8283,466.1304,268.0435,143.6813,86.0645,636.1522,200.7416,565.7196,94.57574,325.269,394.9625,1014.776,52.37753,513.5191
"661",658,"Factor #658",15.2214,22,165.2363,744.2662,801.0623,673,817,783,798,735,2790,715.8766,268.7327,445.4759,230.5945,226.5345,1132,296.0887,239.2249,947,543.8453,1162,211.4655,811.3881
"663",659,"Factor #659",15.2293,22,50.50101,719,841,747,936,1085,1075,735.0929,2118,653.4918,185.8768,420.8315,173.9408,189.2631,1073.591,291.5524,148.9628,689.7579,210.5865,2897,307.888,811.3881
"665",665,"Factor #665",15.2636,22,5.492667,540.7699,710,612,841,982,1044,1251,3826,93.90548,116.0435,338.5652,106.087,189.7391,180.7312,720.0646,8.898011,978,400.7269,190.1427,2370.855,102.3679
"666",666,"Factor #666",15.2664,22,11.95511,540.7699,759.7055,701.0116,898,615,1044.023,683,3826,93.79734,5.531205,338.5652,6.460024,189.7391,168.5432,720.0646,29.75913,974.6626,400.2485,156.892,1840.214,102.2819
"669",667,"Factor #667",15.3516,22,469.3573,579.4783,864,641,569,757.3043,567,514,1056,1420,558,120.1693,615,456,296.7826,1166,303.4351,1101,495.3043,289.3478,54.70213,1299
"674",672,"Factor #672",15.3807,22,51.17257,2156,875,785,691,808,596,48.54169,64.29809,43.36309,67.04951,28.62422,27.63904,24.11062,2555.607,149.5292,50.43944,72.86046,1434.501,35.79087,33.07473,26.46634
"675",676,"Factor #676",15.4257,22,652,1083.652,902.2835,834.6513,969.5648,1582.534,1921.391,663,2463,2118.696,1176,1480,2229,2652.435,3149.974,1117,1839,4075.565,2653.806,2827.565,2734.391,4323.957
"676",675,"Factor #675",15.4305,22,652,1083.652,1055.807,837.9173,971.0099,1760.059,1921.391,2097,2975,2119,2695,2371,2424,2692.261,3312.015,1269.957,2645,4076,2796.293,3821,3374,4606
"678",677,"Factor #677",15.44,22,623,1305.541,1367.71,1147.548,1371.217,1818.409,1799.357,1844.188,2642.87,1593,1789.696,833,936.7826,1776.696,3177.347,1240,2375.696,2784.217,2753.268,2278,1373,1584
"681",683,"Factor #683",15.4645,22,45.69565,2408,2741,2451,2668,2842,2558.174,5067.123,4360.225,1285.194,3489.995,1084.852,1872.27,1432.376,3711.484,2324.007,48.48818,3172.968,51295.51,1924.493,1485.264,995.0372
"682",680,"Factor #680",15.4677,22,34.42107,2407.041,2740.579,2679.73,2666.792,2842.363,2558.174,5068,4360.225,1285,3490,1085,1865,1130.819,2509.127,2325,55.6087,3173,469.0308,1925,1565,995
"683",681,"Factor #681",15.4707,22,47.19533,2407.041,2740.579,2679.73,2645.49,2842.363,2558.174,5068,4408.944,1250,3490,1084.852,1872,1047.521,2540.802,2324.007,74.0587,2912,778.7365,1925,1564.609,995.0372
"685",684,"Factor #684",15.4839,22,27.7599,2423,2341.074,2451,2719,2747,2865,1346.966,195.6954,555.4085,1503.379,461.8339,794.4688,404.3711,3040.427,59.53761,33.58127,937.9172,56886,765.5231,279.2963,388.8215
